site,igbp,hour,obs,air,soil
US-Los,WET,23,1.158178079684572,1.0685119011071351,1.0491939327141084
US-MOz,DBF,0,1.2070952822553134,1.0646018088185278,1.0671105475685008
US-MOz,DBF,1,1.2091255733909212,1.052789653199295,1.067038253800584
US-MOz,DBF,2,1.2209835449348752,1.0311935646177428,1.0599819222496105
US-MOz,DBF,3,1.2401651498463022,1.0129860505813089,1.0540919238154407
US-MOz,DBF,4,1.292603666616628,1.0171326890550139,1.0661168289626484
US-MOz,DBF,5,1.1838390358458704,0.9702121394012756,1.0344882770651143
US-MOz,DBF,6,0.8347266859930328,0.8333324282705001,0.9161191642123953
US-MOz,DBF,7,0.7566076662590653,0.7451533856544359,0.8353366878468744
US-MOz,DBF,8,1.3453315703266207,0.858995524344812,0.8701164219686771
US-MOz,DBF,15,0.6360336168779672,0.9251455746687512,0.9304831638984732
US-MOz,DBF,16,0.4410190557376484,0.9028288555550493,0.8929809226927319
US-MOz,DBF,17,0.5104706304472989,0.9529764523477635,0.9050683356024193
US-MOz,DBF,18,0.6361058218633295,1.0622111762005564,0.9762487115780163
US-MOz,DBF,19,0.9079018185652563,1.1674287984812914,1.069128006087781
US-MOz,DBF,20,1.0296171332824797,1.112743144111322,1.049685127604696
US-MOz,DBF,21,1.1805754203342242,1.1089619145912388,1.0685359811108048
US-MOz,DBF,22,1.1511698358557791,1.0961800468391405,1.0692945219097587
US-MOz,DBF,23,1.2166284915673908,1.0851267932619748,1.0681752020254762
US-NC1,ENF,0,0.9871613208216387,1.0175453161432626,1.0198104147550786
US-NC1,ENF,1,1.0870047562481648,1.0051008164947401,1.0219262921775536
US-NC1,ENF,2,1.0480244639437755,1.0039018077144675,1.0277050297333676
US-NC1,ENF,3,1.1208613656313122,0.9976495071009368,1.0229705662230117
US-NC1,ENF,4,1.0716657750891392,0.9803668759766967,1.0139279079212464
US-NC1,ENF,5,1.0496585458023318,0.9566901720897368,1.0032363328801512
US-NC1,ENF,6,0.833909365149048,0.8545814355137578,0.9259186068782184
US-NC1,ENF,7,0.7908785354331929,0.8187319698583617,0.8734095649215912
US-NC1,ENF,17,0.7522717141182976,0.9373973440823329,0.9125044500409054
US-NC1,ENF,18,0.8271885657095714,1.0283617819221935,0.9733394792278262
US-NC1,ENF,19,1.1000920898220636,1.1346432289549129,1.04905866721761
US-NC1,ENF,20,1.1302742679559081,1.102964719774643,1.0546322416475227
US-NC1,ENF,21,1.0862011583173494,1.0732349541670738,1.0442928845064166
US-NC1,ENF,22,1.089992893004789,1.054645924530242,1.0312502377914448
US-NC1,ENF,23,1.024815182953418,1.034184145676639,1.0260173240780575
US-NC2,ENF,0,1.0969506969569789,1.0448163385043756,1.0525538492995479
US-NC2,ENF,1,1.0516825439216946,1.0267441690962629,1.043438708400077
US-NC2,ENF,2,1.064487590353343,1.0043405874299445,1.0341479982841737
US-NC2,ENF,3,1.0966969906577284,0.9948469495383708,1.0305501536818482
US-NC2,ENF,4,1.0629775076901395,0.9876948176835882,1.028393360086501
US-NC2,ENF,5,0.9723308319724618,0.9343610843717788,0.9876579301390492
US-NC2,ENF,6,0.7918042633293625,0.7752467142917074,0.8559668008569739
US-NC2,ENF,7,0.7617362145518585,0.7072874754116407,0.7766398827091382
US-NC2,ENF,16,0.9696844556745962,0.9869166490474764,0.9225371001675571
US-NC2,ENF,17,0.8228941661043266,0.9692704374971197,0.9157330170470751
US-NC2,ENF,18,0.9776521252044863,1.0551441833432857,0.9989977934827994
US-NC2,ENF,19,1.0975640110658664,1.1605176789304859,1.0855315904663425
US-NC2,ENF,20,1.0160400932966527,1.1029977409775715,1.0665455659999195
US-NC2,ENF,21,1.01074632264809,1.0759154004838936,1.0541466108940716
US-NC2,ENF,22,1.068787537015746,1.0766887041041056,1.061953988413248
US-NC2,ENF,23,1.1379646495566673,1.0972110692883927,1.0852056500716782
US-NC3,ENF,0,1.034990197099363,0.984349435053876,0.9928724282759512
US-NC3,ENF,1,1.011373237856264,0.9719276073991707,0.9889682720855913
US-NC3,ENF,2,1.0878996491796726,0.9717780835686812,0.9894048757398037
US-NC3,ENF,3,1.0388881677797184,0.9935384972123185,0.993077784503526
US-NC3,ENF,4,0.9717835505138686,0.9473831259298254,0.9740587296759375
US-NC3,ENF,5,1.0265410103420898,0.9646332293666875,0.9856473852698668
US-NC3,ENF,6,0.7887386415276629,0.832930336386248,0.8879705140979972
US-NC3,ENF,7,0.888080296986903,0.7400058411873769,0.8194418481731786
US-NC3,ENF,16,0.8434267874638975,0.9331669259223269,0.944617767172323
US-NC3,ENF,17,0.985276293292511,1.033680622185285,0.994051483264415
US-NC3,ENF,18,0.9335189190907885,1.1189782447275916,1.0545920744220063
US-NC3,ENF,19,1.1009217582673152,1.2088801487483474,1.165897121364776
US-NC3,ENF,20,1.1726031081446557,1.1722108982514245,1.1216809712906501
US-NC3,ENF,21,1.0277507028444037,1.0487313556942355,1.0326347659352428
US-NC3,ENF,22,1.0782640131258165,1.0546205104920146,1.0342256395009026
US-NC3,ENF,23,1.0099436664850698,1.023185137874591,1.0208583392278323
US-NC4,WET,0,1.1164492363403196,1.0235634018219713,1.0384324045296498
US-NC4,WET,1,1.0138078870659561,0.9948674069405941,1.017512872999576
US-NC4,WET,2,1.0081435948037045,0.9901180035722517,1.0168629876425053
US-NC4,WET,3,1.0785580409719218,1.0115974330430286,1.0236413761514107
US-NC4,WET,4,1.1436047814799382,0.9953391574047671,1.0241505373902127
US-NC4,WET,5,0.9802572964321082,0.9503740710546845,0.9674217584853774
US-NC4,WET,6,0.7382524889241445,0.8843394865629761,0.891406324146566
US-NC4,WET,16,0.5464796847920603,0.9075246130818565,0.8730236531675204
US-NC4,WET,17,0.6696148843712606,0.9475073315292518,0.916645923885933
US-NC4,WET,18,1.0721721284294696,1.0744393978937223,1.0371821287304746
US-NC4,WET,19,1.2062376306526603,1.0913205542247062,1.0474784311737564
US-NC4,WET,20,1.0441550402599415,1.011401520926698,1.0127808999984185
US-NC4,WET,21,1.1037548686240568,1.0306514199515875,1.0329751187409282
US-NC4,WET,22,1.1458878461559137,1.0498697506172314,1.0509709123251119
US-NC4,WET,23,1.1326245906965462,1.0370864513746767,1.0495146706325607
US-NR1,ENF,0,1.1572568427621044,1.0540944257624378,1.0132492877231039
US-NR1,ENF,1,1.1546290716788095,1.056929862966416,1.0133520663354891
US-NR1,ENF,2,1.1650961117929313,1.0538830163322461,1.0119262300727028
US-NR1,ENF,3,1.1654412323761985,1.0562736174236498,1.0123048682874953
US-NR1,ENF,4,1.1273343120544534,1.0551733296718233,1.0113422918659465
US-NR1,ENF,5,0.8439559980435453,0.95520222864781,0.9795519886543912
US-NR1,ENF,6,0.5422886194807944,0.8441799327953834,0.9380486137595965
US-NR1,ENF,7,0.4574167433300659,0.7914393267502773,0.9249361496422241
US-NR1,ENF,15,1.2624247615413593,0.9991333148039825,1.0725446892897679
US-NR1,ENF,16,0.5698754530513573,0.8855714234093209,0.9518775707307783
US-NR1,ENF,17,0.6562368689929732,0.9308396827131459,0.9677843842272887
US-NR1,ENF,18,0.9062746714303421,0.9951228082485531,0.9953456929155923
US-NR1,ENF,19,1.2249554219229868,1.0811786014604203,1.0294367639059905
US-NR1,ENF,20,1.2461365571845184,1.0706283050678904,1.0258819270674477
US-NR1,ENF,21,1.2050498065846644,1.0630984327509672,1.020760651699362
US-NR1,ENF,22,1.1736636121755413,1.0555534442314838,1.0174036127875097
US-NR1,ENF,23,1.141963915597355,1.0516982469641936,1.0142532110353113
US-Ton,WSA,0,0.7527276964726942,1.0225998969225805,1.0486426775228705
US-Ton,WSA,1,0.7567699863131903,0.9980750205833415,1.0305808354382688
US-Ton,WSA,2,0.766747035241011,0.9889985995318717,1.0262659131911505
US-Ton,WSA,3,0.8352972388657797,0.9644598300794279,1.0043812502221052
US-Ton,WSA,4,0.8257269601909767,0.9459968795704499,0.9941115526340649
US-Ton,WSA,5,0.9052517668231512,0.9093114103893193,0.9463616030807532
US-Ton,WSA,6,1.0406984011321916,0.8463563692647823,0.8691262012895677
US-Ton,WSA,7,1.3398252934007062,0.8201656796550287,0.8288498202967662
US-Ton,WSA,8,2.297738427972714,0.9142225377295925,0.875783608029677
US-Ton,WSA,15,2.4077740826488783,0.9305458617422828,0.8737137086873827
US-Ton,WSA,16,1.1586560058355342,0.9718093832256237,0.910544978823967
US-Ton,WSA,17,0.7845748300565969,1.0158173377996875,0.9659775875438384
US-Ton,WSA,18,0.6917617419808821,1.1491864376036545,1.100363996266007
US-Ton,WSA,19,0.5466722540405748,1.2845927712994238,1.2467895316763722
US-Ton,WSA,20,0.6822376071499532,1.1281205593359613,1.1321703141398451
US-Ton,WSA,21,0.7349590878811033,1.0415701280107195,1.0488725921087692
US-Ton,WSA,22,0.7294418975175494,1.0371245641876006,1.048039535816559
US-Ton,WSA,23,0.7431396864765138,1.0310467330686506,1.049424293232036
